unique_id,population,number_of_miners,avg_probability,gold_stats,resource_stats,economic_opportunity,resources,trades
232,8,1,0.10811695872924937,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]","[18.64902169 28.19367023 15.1378453  11.80580122  5.72536537  5.49054679
 11.07699086 10.31600261]",12.376896894641394,7.441823132070514,0
233,4,3,0.1969111393954438,"[['gold']
 ['gold']
 ['gold']
 ['gold']]",[26.37528951 17.76959342 12.67319134  3.        ],14.419845467626763,7.265603560531458,0
234,4,0,0.07788913491438704,"[['gold']
 ['gold']
 ['gold']
 ['gold']]",[18.58452835 18.21130824 14.38950533  5.89210613],12.931529233368959,6.32797312406821,0
235,11,4,0.14560231535670637,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]","[10.12706934  6.10587177  6.27480884 17.24797124  9.30201838  6.5157278
 19.41363126 12.82439671  6.12824433 16.05135565]",10.184621071645331,7.331887535377493,0
236,14,1,0.09859574350312393,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]","[22.30643876 10.53979578 10.34566895 15.17980808  4.6657949  21.32950448
 17.57226523 19.32268976  9.5213914   7.42616043]",12.575237972074989,6.581883628234646,0
237,5,4,0.44235813624992326,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]",[4.89078757 6.26863781 5.65065274 4.6650307  8.42195752],6.78144216280208,6.4753117354749605,0
238,11,4,0.2137094761879173,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]","[20.73382292 19.56296331 26.24101938 11.25461112  8.92408931  7.00670465
  8.87898179  7.90573112 12.9951619   9.42841163]",12.365180589326826,7.6740918781483805,0
239,7,1,0.19286178566735798,"[['gold']
 ['gold']
 ['gold']
 ['gold']]",[12.55142613  7.20228501  3.         10.23471713],8.206117872227319,5.929125056558021,0
240,14,12,0.2774492878290027,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]","[28.33029196 11.63369095 14.85007576  6.97475624  6.477965   10.01614283
  6.78872466  5.3058046  12.01165425  9.99087671 12.68270863  5.08432474
  8.88475297]",9.945463553262515,5.587381578580043,0
241,15,9,0.2341615398624374,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]","[25.74792225 13.22756642 11.70070943  9.65347128  9.44328058  3.
  5.65166904 21.64752736 17.15438123 12.82569525]",12.52983397948438,11.224085327171746,0
242,3,0,0.07826822879144253,"[['gold']
 ['gold']
 ['gold']]",[ 9.59023799 10.99731029  7.84132296],9.335028649587102,4.689511180143307,0
243,6,2,0.16460408195703502,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]",[21.13267    24.30639443 15.1385371   9.17850109 10.84470401  3.        ],13.659089508910379,9.82037696029878,0
